stop_id,stop_city
779075,Durham
779076,Durham
779077,Durham
779078,Durham
779079,Durham
779080,Durham
779081,Durham
779082,Durham
779083,Durham
779084,Durham
779085,Durham
779086,Durham
779087,Durham
779088,Durham
779089,Durham
779090,Durham
779091,Durham
779092,Durham
779093,Durham
779094,Durham
779095,Durham
779096,Durham
779097,Durham
779099,Durham
779100,Durham
779102,Durham
779103,Durham
779104,Durham
779105,Durham
779106,Durham
779107,Durham
779109,Durham
779110,Durham
779111,Durham
779114,Durham
779115,Durham
779117,Durham
779118,Durham
779119,Durham
779120,Durham
779122,Durham
779125,Durham
779127,Durham
779128,Durham
779130,Durham
779131,Durham
779134,Durham
779136,Durham
779137,Durham
779138,Durham
779141,Durham
779143,Durham
779144,Durham
779145,Durham
779146,Durham
779147,Durham
779148,Durham
779149,Durham
779151,Durham
779152,Durham
779153,Durham
779154,Durham
779155,Durham
779156,Durham
779157,Durham
779159,Durham
779160,Durham
779161,Durham
779162,Durham
779163,Durham
779164,Durham
779166,Durham
779167,Durham
779168,Durham
779169,Durham
779170,Durham
779171,Durham
779172,Durham
779174,Durham
779175,Durham
779176,Durham
779177,Durham
779178,Durham
779179,Durham
779180,Durham
779181,Durham
779182,Durham
779184,Durham
779185,Durham
779186,Durham
779187,Durham
779191,Durham
779192,Durham
779193,Durham
779195,Durham
779196,Durham
779197,Durham
779198,Durham
779201,Durham
779202,Durham
779203,Durham
779204,Durham
779207,Durham
779208,Durham
779209,Durham
779210,Durham
779211,Durham
779212,Durham
779213,Durham
779214,Durham
779215,Durham
779216,Durham
779217,Durham
779218,Durham
779219,Durham
779220,Durham
779221,Durham
779222,Durham
779224,Durham
779226,Durham
779227,Durham
779228,Durham
779229,Durham
779230,Durham
779231,Durham
779232,Durham
779233,Durham
779234,Durham
779237,Durham
779238,Durham
779239,Durham
779240,Durham
779241,Durham
779242,Durham
779243,Durham
779244,Durham
779245,Durham
779246,Durham
779247,Durham
779248,Durham
779249,Durham
779250,Durham
779251,Durham
779252,Durham
779253,Durham
779254,Durham
779255,Durham
779256,Durham
779257,Durham
779258,Durham
779259,Durham
779260,Durham
779263,Durham
779264,Durham
779265,Durham
779266,Durham
779267,Durham
779268,Durham
779269,Durham
779271,Durham
779272,Durham
779273,Durham
779274,Durham
779275,Durham
779276,Durham
779278,Durham
779279,Durham
779280,Durham
779281,Durham
779286,Durham
779287,Durham
779288,Durham
779289,Durham
779290,Durham
779292,Durham
779293,Durham
779295,Durham
779296,Durham
779298,Durham
779301,Durham
779302,Durham
779303,Durham
779304,Durham
779305,Durham
779306,Durham
779308,Durham
779310,Durham
779311,Durham
779314,Durham
779315,Durham
779316,Durham
779317,Durham
779318,Durham
779319,Durham
779320,Durham
779321,Durham
779322,Durham
779323,Durham
779325,Durham
779326,Durham
779327,Durham
779328,Durham
779331,Durham
779332,Durham
779335,Durham
779336,Durham
779337,Durham
779339,Durham
779340,Durham
779341,Durham
779343,Durham
779344,Durham
779345,Durham
779346,Durham
779347,Durham
779348,Durham
779350,Durham
779351,Durham
779352,Durham
779353,Durham
779354,Durham
779355,Durham
779356,Durham
779357,Durham
779358,Durham
779359,Durham
779360,Durham
779361,Durham
779362,Durham
779363,Durham
779365,Durham
779366,Durham
779368,Durham
779369,Durham
779370,Durham
779371,Durham
779372,Durham
779373,Durham
779374,Durham
779375,Durham
779376,Durham
779377,Durham
779379,Durham
779380,Durham
779381,Durham
779382,Durham
779383,Durham
779384,Durham
779385,Durham
779386,Durham
779387,Durham
779388,Durham
779389,Durham
779391,Durham
779393,Durham
779394,Durham
779396,Durham
779398,Durham
779399,Durham
779402,Durham
779403,Durham
779404,Durham
779405,Durham
779406,Durham
779407,Durham
779408,Durham
779410,Durham
779411,Durham
779412,Durham
779413,Durham
779416,Durham
779417,Durham
779418,Durham
779420,Durham
779422,Durham
779423,Durham
779424,Durham
779426,Durham
779428,Durham
779429,Durham
779431,Durham
779432,Durham
779433,Durham
779434,Durham
779437,Durham
779438,Durham
779439,Durham
779440,Durham
779441,Durham
779442,Durham
779443,Durham
779444,Durham
779446,Durham
779448,Durham
779449,Durham
779451,
779452,Durham
779453,Durham
779455,Durham
779456,Durham
779457,Durham
779458,Durham
779461,Durham
779465,Durham
779466,Durham
779467,Durham
779468,Durham
779469,Durham
779470,Durham
779471,Durham
779472,Durham
779473,Durham
779474,Durham
779476,Durham
779477,Durham
779478,Durham
779482,Durham
779483,Durham
779485,Durham
779486,Durham
779487,Durham
779488,Durham
779489,Durham
779490,Durham
779491,Durham
779495,Durham
779499,Durham
779500,Durham
779501,Durham
779502,Durham
779503,Durham
779504,Durham
779505,Durham
779507,Durham
779508,Durham
779509,Durham
779510,Durham
779513,Durham
779514,Durham
779515,Durham
779516,Durham
779517,Durham
779518,Durham
779519,Durham
779520,Durham
779521,Durham
779522,Durham
779523,Durham
779524,Durham
779526,Durham
779527,Durham
779529,Durham
779530,Durham
779532,Durham
779533,Durham
779534,Durham
779536,Durham
779538,Durham
779540,Durham
779541,Durham
779542,Durham
