route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
52,1,,Velkuan reittialue,,4,http://www.finferries.fi/lauttaliikenne/lauttapaikat-ja-aikataulut/velkuan-reitti-kivimo.html,,
53,10,,Porvoon reittialue,,4,http://www.portoline.net/fi,,
54,10,,Sipoon reittialue,,4,http://www.portoline.net/fi/aikataulut-sipoo,,
55,9,,Nauvo-Seili-Hanka (Rymättylä),,4,http://www.ostern.fi,,
56,1,,Turku-Velkua,,4,http://www.matkahuolto.info/lippu/fi/connectionsearch?stat=1&sn0=Turku&sn1=heponiemi&sn2=&snOld0=&snOld1=&snOld2=&page=criteria&connectionSearchType=departure&departureStopAreaId=p565&departureStopAreaName=Turku&arrivalStopAreaId=p256&arrivalStopAreaName=velkua&allSchedules=1&ticketTravelType=0&search=search,,
57,1,,Turku-Kustavi,,4,http://www.matkahuolto.info/lippu/fi/connectionsearch?stat=1&sn0=Turku&sn1=heponiemi&sn2=&snOld0=&snOld1=&snOld2=&page=criteria&connectionSearchType=departure&departureStopAreaId=p565&departureStopAreaName=Turku&arrivalStopAreaId=p256&arrivalStopAreaName=heponiemi&allSchedules=1&ticketTravelType=0&search=search,,
58,1,,Turku-Korppoo,,4,http://www.matkahuolto.info/lippu/fi/connectionsearch?stat=1&sn0=Turku&sn1=heponiemi&sn2=&snOld0=&snOld1=&snOld2=&page=criteria&connectionSearchType=departure&departureStopAreaId=p565&departureStopAreaName=Turku&arrivalStopAreaId=p256&arrivalStopAreaName=korppoo&allSchedules=1&ticketTravelType=0&search=search,,
59,1,,Turku-Houtskari,,4,http://www.matkahuolto.info/lippu/fi/connectionsearch?stat=1&sn0=Turku&sn1=heponiemi&sn2=&snOld0=&snOld1=&snOld2=&page=criteria&connectionSearchType=departure&departureStopAreaId=p565&departureStopAreaName=Turku&arrivalStopAreaId=p256&arrivalStopAreaName=houtskari&allSchedules=1&ticketTravelType=0&search=search,,
60,1,,Turku-Taalintehdas,,4,http://www.matkahuolto.info/lippu/fi/connectionsearch?stat=1&sn0=Turku&sn1=heponiemi&sn2=&snOld0=&snOld1=&snOld2=&page=criteria&connectionSearchType=departure&departureStopAreaId=p565&departureStopAreaName=Turku&arrivalStopAreaId=p256&arrivalStopAreaName=taalintehdas&allSchedules=1&ticketTravelType=0&search=search,,
61,1,,Helsingin saaristolautat,,4,http://www.hel.fi/www/helsinki/fi/kartat-ja-liikenne/joukkoliikenne/lauttaliikenne/vesireittiliikenne/,,
