trip_id,start_time,end_time,headway_secs
40405210,6:00:00,9:00:00,300
40405210,9:00:00,15:00:00,900
40405210,15:00:00,21:00:00,300
41960111,6:00:00,9:00:00,300
41960111,9:00:00,15:00:00,900
41960111,15:00:00,21:00:00,300
41960110,6:00:00,9:00:00,300
41960110,9:00:00,15:00:00,900
41960110,15:00:00,21:00:00,300
41961111,6:00:00,9:00:00,300
41961111,9:00:00,15:00:00,900
41961111,15:00:00,21:00:00,300
41961110,6:00:00,9:00:00,300
41961110,9:00:00,15:00:00,900
41961110,15:00:00,21:00:00,300
41961121,6:00:00,9:00:00,300
41961121,9:00:00,15:00:00,900
41961121,15:00:00,21:00:00,300
41961120,6:00:00,9:00:00,300
41961120,9:00:00,15:00:00,900
41961120,15:00:00,21:00:00,300
43560111,6:00:00,9:00:00,300
43560111,9:00:00,15:00:00,900
43560111,15:00:00,21:00:00,300
43560110,6:00:00,9:00:00,300
43560110,9:00:00,15:00:00,900
43560110,15:00:00,21:00:00,300
43839111,6:00:00,9:00:00,300
43839111,9:00:00,15:00:00,900
43839111,15:00:00,21:00:00,300
43839110,6:00:00,9:00:00,300
43839110,9:00:00,15:00:00,900
43839110,15:00:00,21:00:00,300
47071111,6:00:00,9:00:00,300
47071111,9:00:00,15:00:00,900
47071111,15:00:00,21:00:00,300
47071110,6:00:00,9:00:00,300
47071110,9:00:00,15:00:00,900
47071110,15:00:00,21:00:00,300
40405111,6:00:00,9:00:00,300
40405111,9:00:00,15:00:00,900
40405111,15:00:00,21:00:00,300
40405110,6:00:00,9:00:00,300
40405110,9:00:00,15:00:00,900
40405110,15:00:00,21:00:00,300
43560211,6:00:00,9:00:00,300
43560211,9:00:00,15:00:00,900
43560211,15:00:00,21:00:00,300
43560210,6:00:00,9:00:00,300
43560210,9:00:00,15:00:00,900
43560210,15:00:00,21:00:00,300
50011111,6:00:00,9:00:00,300
50011111,9:00:00,15:00:00,900
50011111,15:00:00,21:00:00,300
50011110,6:00:00,9:00:00,300
50011110,9:00:00,15:00:00,900
50011110,15:00:00,21:00:00,300
5012C111,6:00:00,9:00:00,300
5012C111,9:00:00,15:00:00,900
5012C111,15:00:00,21:00:00,300
5012C110,6:00:00,9:00:00,300
5012C110,9:00:00,15:00:00,900
5012C110,15:00:00,21:00:00,300
5012D111,6:00:00,9:00:00,300
5012D111,9:00:00,15:00:00,900
5012D111,15:00:00,21:00:00,300
5012D110,6:00:00,9:00:00,300
5012D110,9:00:00,15:00:00,900
5012D110,15:00:00,21:00:00,300
5014A111,6:00:00,9:00:00,300
5014A111,9:00:00,15:00:00,900
5014A111,15:00:00,21:00:00,300
5014A110,6:00:00,9:00:00,300
5014A110,9:00:00,15:00:00,900
5014A110,15:00:00,21:00:00,300
5014B111,6:00:00,9:00:00,300
5014B111,9:00:00,15:00:00,900
5014B111,15:00:00,21:00:00,300
5014B110,6:00:00,9:00:00,300
5014B110,9:00:00,15:00:00,900
5014B110,15:00:00,21:00:00,300
50015111,6:00:00,9:00:00,300
50015111,9:00:00,15:00:00,900
50015111,15:00:00,21:00:00,300
50015110,6:00:00,9:00:00,300
50015110,9:00:00,15:00:00,900
50015110,15:00:00,21:00:00,300
50016111,6:00:00,9:00:00,300
50016111,9:00:00,15:00:00,900
50016111,15:00:00,21:00:00,300
50016110,6:00:00,9:00:00,300
50016110,9:00:00,15:00:00,900
50016110,15:00:00,21:00:00,300
50024211,6:00:00,9:00:00,300
50024211,9:00:00,15:00:00,900
50024211,15:00:00,21:00:00,300
