stop_id,stop_city
14005715,
14001293,
14001296,
14001490,
14001652,
14004191,
14001336,
14008772,
14003493,
14005618,
14005992,
14001620,
14006414,
14001203,
14001101,
14007993,
14001247,
14001254,
14001272,
14003953,
14005949,
14005451,
14001687,
14001171,
14002137,
14004347,
14004008,
14001629,
14002116,
14001547,
14007987,
14001757,
14005997,
14006626,
14001793,
14008955,
14003980,
14006677,
14001995,
14004568,
14001940,
14001726,
14002889,
14007497,
14002044,
14003974,
14006809,
14006320,
14002357,
14006781,
14002087,
14003555,
14002161,
14006651,
14004317,
14007762,
14007485,
14002096,
14005630,
14007628,
14003576,
14004751,
14001366,
14005920,
14001752,
14002361,
14008026,
14001649,
14001089,
14005695,
14007627,
14001407,
14001682,
14001300,
14001232,
14007299,
14001065,
14001834,
14001566,
14008226,
14002057,
14005645,
14008159,
14001641,
14007009,Matamatapiako
14007814,Hauraki
14008082,Matamatapiako
14008004,
14003922,
14007802,
14007598,
14003354,
