runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
1900000,WKO00_MTWThF_20200626_20230429,9034,19,1,t_770012_b_25620_tn_0,14002377,t_769974_b_25620_tn_0,14002377
19000000,WKO00_SSu_20200625_20220507,20U2-3,190,1,t_1077872_b_24857_tn_0,14001212,t_1064938_b_24857_tn_0,14002170
19100000,WKO00_SSu_20200625_20220507,20U2-4,191,1,t_1077871_b_24857_tn_0,14001212,t_1076273_b_24857_tn_0,14004347
19200000,WKO00_SSu_20200625_20220507,20U2-5,192,1,t_1065101_b_24857_tn_0,14002507,t_1064940_b_24857_tn_0,14002170
19300000,WKO00_SSu_20200625_20220507,20U2-6,193,1,t_1065087_b_24857_tn_0,14001487,t_1076293_b_24857_tn_0,14002530
19400000,WKO00_SSu_20200625_20220507,20U2-8,194,1,t_1076282_b_24857_tn_0,14004347,t_1064941_b_24857_tn_0,14002170
19500000,WKO00_SSu_20200625_20220507,20U2-9,195,1,t_1064916_b_24857_tn_0,14002170,t_1064930_b_24857_tn_0,14002170
19600000,WKO00_MTWThF_20201012_20201218_1,20U1/2-1,196,1,t_1064983_b_25345_tn_0,14005630,t_1064983_b_25345_tn_0,14007948
19700000,WKO00_MTWThF_20201012_20201218_1,20U1-22,197,1,t_998867_b_25345_tn_0,14002124,t_998867_b_25345_tn_0,14007993
19800000,WKO00_MTWThF_20201012_20201218_1,20U2-26,198,1,t_1064985_b_25345_tn_0,14006466,t_1064985_b_25345_tn_0,14002361
19900000,WKO00_MTWThF_20201012_20201218_1,20U2-28,199,1,t_1064986_b_25345_tn_0,14006466,t_1064986_b_25345_tn_0,14002361
200000,WKO00_MWF_20200626_20230429,U24-2,2,1,t_905216_b_25620_tn_0,14002601,t_935231_b_25620_tn_0,14002530
2000000,WKO00_MTWThF_20200626_20230429,U1-03,20,1,t_985436_b_25620_tn_0,14002520,t_985436_b_25620_tn_0,14005828
20000000,WKO00_MTWThF_20201012_20201218_1,20U2-39,200,1,t_1064984_b_25345_tn_0,14005630,t_1064984_b_25345_tn_0,14007948
20100000,WKO00_MTWThF_20200625_20200703_1,20U1/2-1,201,1,t_1064983_b_25346_tn_0,14005630,t_1064983_b_25346_tn_0,14007948
20200000,WKO00_MTWThF_20200625_20200703_1,20U1-22,202,1,t_998867_b_25346_tn_0,14002124,t_998867_b_25346_tn_0,14007993
20300000,WKO00_MTWThF_20200625_20200703_1,20U2-26,203,1,t_1064985_b_25346_tn_0,14006466,t_1064985_b_25346_tn_0,14002361
20400000,WKO00_MTWThF_20200625_20200703_1,20U2-28,204,1,t_1064986_b_25346_tn_0,14006466,t_1064986_b_25346_tn_0,14002361
20500000,WKO00_MTWThF_20200625_20200703_1,20U2-39,205,1,t_1064984_b_25346_tn_0,14005630,t_1064984_b_25346_tn_0,14007948
20600000,WKO00_MTWThF_20200720_20200925_1,20U1/2-1,206,1,t_1064983_b_25347_tn_0,14005630,t_1064983_b_25347_tn_0,14007948
20700000,WKO00_MTWThF_20200720_20200925_1,20U1-22,207,1,t_998867_b_25347_tn_0,14002124,t_998867_b_25347_tn_0,14007993
20800000,WKO00_MTWThF_20200720_20200925_1,20U2-26,208,1,t_1064985_b_25347_tn_0,14006466,t_1064985_b_25347_tn_0,14002361
20900000,WKO00_MTWThF_20200720_20200925_1,20U2-28,209,1,t_1064986_b_25347_tn_0,14006466,t_1064986_b_25347_tn_0,14002361
2100000,WKO00_MTWThF_20200626_20230429,U1-12,21,1,t_985416_b_25620_tn_0,14001723,t_985416_b_25620_tn_0,14002530
21000000,WKO00_MTWThF_20200720_20200925_1,20U2-39,210,1,t_1064984_b_25347_tn_0,14005630,t_1064984_b_25347_tn_0,14007948
21100000,WKO00_MTWThFSSu_20200325_20200625,11612,211,1,t_1028527_b_25567_tn_0,14001491,t_1028519_b_25567_tn_0,14002530
