stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
rt41S25,S Washington St & SW 33rd Ave (Taco Bell),This stop is on S Washington St & South of SW 33rd Ave at the North end of the Taco Bell parking lot,35.17912521,-101.8484388,,,
rt41S26,S Washington St & SW 22nd Ave (North Amarillo College Parking Lot),This stop is on S Washington St & South of SW 22nd Ave at the North Amarillo College Parking Lot,35.1900212,-101.8484754,,,
rt41S27,S Washington St & Interstate 40 (Subway),This stop is on S Washington St & South of Interstate 40 in front of Subway,35.193371,-101.848487,,,
rt41S28,S Washington St & SW 17th Ave (Buzula Furniture),This stop is on S Washington St & South of SW 17th Ave West side of Buzula Furniture,35.19642043,-101.8484552,,,
rt41S29,S Washington St & SW 16th Ave,This stop is on S Washington St & North of SW 16th Ave,35.19901438,-101.8485212,,,
rt41S30,SW 15th Ave & S Harrison St,This stop is on SW 15th Ave & East of S Harrison St,35.19857285,-101.8410321,,,
SPierceStSE7thAve,S Pierce St & SE 7th Ave (Basden Bail Bond),This stop is on S Pierce St & South of SE 7th Ave in front of Basden Bail Bond,35.20587765,-101.8336323,,,
rt42S3,S Pierce St & SE 9th Ave,This stop is on S Pierce St & South of SE 9th Ave,35.203887,-101.834040,,,
rt42S4,Canyon Dr & Stapleton St,This stop is on Canyon Dr & South of Stapleton St,35.16159755,-101.874426,,,
rt42S5,Canyon Dr & Republic (US Social Security Administration),This stop is on Canyon Dr & North of Republic in front of the US Social Security Administration,35.156635,-101.878730,,,
rt42S6,Canyon Dr & SW 50th Ave,This stop is on Canyon Dr & North of SW 50th Ave,35.15488737,-101.8802036,,,
rt42S7,Canyon Dr & S Western St (Western Bowl),This stop is on Canyon Dr & East of S Western St in the South end of the Western Bowl parking lot,35.1526471,-101.8821416,,,
rt42S8,Canyon Dr & S Western St (Ardvark Automotive),This stop is on Canyon Dr & North of S Western St in front of Ardvark Automotive,35.150377,-101.882817,,,
rt42S9,5141 Canyon Dr,This stop is on Canyon Dr & North of S Western,35.155066,-101.8788699,,,
rt42S10,Canyon Dr & Wilbur Dr (BSA Outpatient Therapy Service),This stop is on Canyon Dr & South of Wilbur Dr in front of BSA Outpatient Therapy Service,35.15827551,-101.8760947,,,
