service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
WD,1,1,1,1,1,0,0,20190101,20211231
WE,0,0,0,0,0,1,0,20190101,20211231
WE1,0,0,0,0,0,1,0,20190101,20211231
WE2,0,0,0,0,0,1,0,20190101,20211231
WD1,1,1,1,1,1,0,0,20190101,20211231
WD2,1,1,1,1,1,0,0,20190101,20211231
WDRS,1,1,1,1,1,0,0,20190101,20211231
WERS,0,0,0,0,0,1,0,20190101,20211231
