stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
83,51001,"Ballston Metro G, Fairfax Dr, EB @ N Stafford, NS",38.882092,-77.110876,"https://www.arlingtontransit.com/riding-art/rider-tools/art-realtime/?Stop=A51001#realTimeResultsContainer"
84,51002,"Fairfax Drive, WB @ N Taylor Street, NS",38.882281,-77.112455,"https://www.arlingtontransit.com/riding-art/rider-tools/art-realtime/?Stop=A51002#realTimeResultsContainer"
85,51003,"Fairfax Drive, WB @ N Utah Street, FS",38.882254,-77.114353,"https://www.arlingtontransit.com/riding-art/rider-tools/art-realtime/?Stop=A51003#realTimeResultsContainer"
91,51009,"N George Mason Dr, NB @ Virginia Hospital Ctr, MB",38.888909,-77.128507,"https://www.arlingtontransit.com/riding-art/rider-tools/art-realtime/?Stop=A51009#realTimeResultsContainer"
92,51010,"N George Mason Drive, NB @ 19th Street N, NS",38.891314,-77.129508,"https://www.arlingtontransit.com/riding-art/rider-tools/art-realtime/?Stop=A51010#realTimeResultsContainer"
93,51011,"N George Mason Drive, NB @ 20th Street N, NS",38.892847,-77.130516,"https://www.arlingtontransit.com/riding-art/rider-tools/art-realtime/?Stop=A51011#realTimeResultsContainer"
94,51012,"Patrick Henry Drive, WB @ N Harrison Street, NS",38.893437,-77.133429,"https://www.arlingtontransit.com/riding-art/rider-tools/art-realtime/?Stop=A51012#realTimeResultsContainer"
95,51013,"N Harrison Street, NB @ Lee Highway, NS",38.896116,-77.137309,"https://www.arlingtontransit.com/riding-art/rider-tools/art-realtime/?Stop=A51013#realTimeResultsContainer"
96,51014,"Lee Highway, EB @ across from N Greenbrier St",38.896282,-77.136024,"https://www.arlingtontransit.com/riding-art/rider-tools/art-realtime/?Stop=A51014#realTimeResultsContainer"
97,51201,"N George Mason Drive, SB @ Lee Highway, FS",38.895711,-77.133587,"https://www.arlingtontransit.com/riding-art/rider-tools/art-realtime/?Stop=A51201#realTimeResultsContainer"
98,51202,"N George Mason Drive, SB @ Patrick Henry Drive, NS",38.894408,-77.132048,"https://www.arlingtontransit.com/riding-art/rider-tools/art-realtime/?Stop=A51202#realTimeResultsContainer"
99,51203,"N George Mason Drive, SB @ 20th Street N, FS",38.892639,-77.130724,"https://www.arlingtontransit.com/riding-art/rider-tools/art-realtime/?Stop=A51203#realTimeResultsContainer"
100,51209,"N George Mason Drive, SB @ 19th Street N, FS",38.891075,-77.129646,"https://www.arlingtontransit.com/riding-art/rider-tools/art-realtime/?Stop=A51209#realTimeResultsContainer"
101,51210,"N George Mason Dr, SB @ Virginia Hospital Ctr, MB",38.889413,-77.128931,"https://www.arlingtontransit.com/riding-art/rider-tools/art-realtime/?Stop=A51210#realTimeResultsContainer"
108,51217,"N Glebe Road, SB @ Washington Blvd, FS",38.884699,-77.117061,"https://www.arlingtontransit.com/riding-art/rider-tools/art-realtime/?Stop=A51217#realTimeResultsContainer"
109,51218,"Fairfax Drive, EB @ N Vermont Street, FS",38.881980,-77.114572,"https://www.arlingtontransit.com/riding-art/rider-tools/art-realtime/?Stop=A51218#realTimeResultsContainer"
110,51219,"Fairfax Drive, EB @ N Taylor Street, NS",38.882021,-77.112980,"https://www.arlingtontransit.com/riding-art/rider-tools/art-realtime/?Stop=A51219#realTimeResultsContainer"
116,52006,"Washington Blvd, WB @ N Glebe Road, FS",38.885482,-77.117833,"https://www.arlingtontransit.com/riding-art/rider-tools/art-realtime/?Stop=A52006#realTimeResultsContainer"
117,52007,"Washington Blvd, WB @ N Buchanan Street, NS",38.885340,-77.121054,"https://www.arlingtontransit.com/riding-art/rider-tools/art-realtime/?Stop=A52007#realTimeResultsContainer"
118,52008,"Washington Blvd, WB @ N Evergreen Street, FS",38.885192,-77.125861,"https://www.arlingtontransit.com/riding-art/rider-tools/art-realtime/?Stop=A52008#realTimeResultsContainer"
136,52027,"N Sycamore Street, SB @ Lee Highway, FS",38.889853,-77.156524,"https://www.arlingtontransit.com/riding-art/rider-tools/art-realtime/?Stop=A52027#realTimeResultsContainer"
137,52028,"N Sycamore Street, SB @ Washington Blvd, FS",38.888168,-77.156449,"https://www.arlingtontransit.com/riding-art/rider-tools/art-realtime/?Stop=A52028#realTimeResultsContainer"
140,52202,"N Sycamore Street, NB @ Washington Blvd, FS",38.887912,-77.156185,"https://www.arlingtontransit.com/riding-art/rider-tools/art-realtime/?Stop=A52202#realTimeResultsContainer"
157,52220,"N George Mason Drive, SB @ 16th Street N, NS",38.887832,-77.128342,"https://www.arlingtontransit.com/riding-art/rider-tools/art-realtime/?Stop=A52220#realTimeResultsContainer"
158,52221,"Washington Blvd, EB @ N Evergreen Street, NS",38.885027,-77.125409,"https://www.arlingtontransit.com/riding-art/rider-tools/art-realtime/?Stop=A52221#realTimeResultsContainer"
159,52222,"Washington Blvd, EB @ N Buchanan Street, NS",38.885184,-77.121318,"https://www.arlingtontransit.com/riding-art/rider-tools/art-realtime/?Stop=A52222#realTimeResultsContainer"
185,42209,"Columbia Pike, WB @ S Rolfe Street, FS",38.865621,-77.075445,"https://www.arlingtontransit.com/riding-art/rider-tools/art-realtime/?Stop=A42209#realTimeResultsContainer"
195,74021,"Columbia Pike, EB @ S Barton Street, FS",38.863351,-77.083518,"https://www.arlingtontransit.com/riding-art/rider-tools/art-realtime/?Stop=A74021#realTimeResultsContainer"
221,74004,"24th Road S, EB @ S Glebe Road, NS",38.848038,-77.081209,"https://www.arlingtontransit.com/riding-art/rider-tools/art-realtime/?Stop=A74004#realTimeResultsContainer"
