timepoint_id,timepoint_code,timepoint_name,timepoint_desc,timepoint_lat,timepoint_lon,zone_id,timepoint_url,location_type,parent_station,timepoint_timezone,wheelchair_boarding
21912,4000776,"W Glebe Rd + Executive Ave",,38.838856,-77.065247,,,,,,0
21913,4000304,"N Van Dorn St+Maris Ave",,38.826492,-77.119469,,,,,,0
21914,4000540,"Commonwealth Ave+W Chapman St",,38.813660,-77.062195,,,,,,0
21915,4000786,"N Howard St + Maple Tree Ct",,38.825348,-77.104256,,,,,,0
21916,4000340,"Seminary Rd + Southern Towers - Stratford Bldg",,38.831490,-77.113297,,,,,,0
21918,4000828,"Madison St+N Saint Asaph St",,38.812843,-77.044258,,,,,,0
21919,4000355,"Martha Custis Dr+Ravensworth Pl",,38.833233,-77.081497,,,,,,0
21921,4000400,"Valley Dr+Gunston Rd",,38.838348,-77.079231,,,,,,0
21922,4000237,"N Beauregard St+Quantrell Ave",,38.820393,-77.138100,,,,,,0
21923,4000714,"S Royal St+King St - Alexandria City Hall",,38.804226,-77.043816,,,,,,0
21925,4000289,"4501 Seminary Rd",,38.825150,-77.106850,,,,,,0
21927,4000657,"Russell Rd+Belleaire Rd",,38.821993,-77.066154,,,,,,0
21928,4000504,"N Columbus St+Madison St",,38.813370,-77.046288,,,,,,0
21929,4000698,"S Royal St+Gibbon St",,38.799213,-77.044876,,,,,,0
21930,4000502,"Cameron Mills Rd+Woodland Ter",,38.825272,-77.073433,,,,,,0
21931,4000701,"Russell Rd+W Monroe Ave",,38.819647,-77.066269,,,,,,0
21932,4000497,"Bashford Ln+Powhatan St",,38.818668,-77.047318,,,,,,0
21933,4000099,"King St+Upland Pl",,38.810871,-77.067421,,,,,,0
21934,4000449,"Franklin St+S Alfred St",,38.798439,-77.050926,,,,,,0
21936,4000655,"Russell Rd+Charles Alexander Ct",,38.828697,-77.066124,,,,,,0
21937,4000631,"Eisenhower Ave+S Van Dorn St",,38.799271,-77.133858,,,,,,0
21938,4000793,"Pendleton St + N Pitt St",,38.810452,-77.042999,,,,,,0
21939,4000248,"3823 Seminary Rd/Beth-El Synagogue",,38.821220,-77.095909,,,,,,0
21940,4000819,"N Fairfax St + Cameron St",,38.805805,-77.042191,,,,,,0
21941,4000533,"Monroe Ave + Wayne St",,38.820263,-77.060539,,,,,,0
21942,4000830,"Madison St+N Columbus St",,38.813141,-77.046631,,,,,,0
21943,4000298,"Seminary Rd+N Pickett St",,38.825996,-77.108276,,,,,,0
21944,4000829,"Madison St+N Washington St",,38.813004,-77.045456,,,,,,0
21945,4000362,"Southern Towers - Graham Building",,38.833729,-77.115379,,,,,,0
21946,4000868,"King St+Tuckahoe Ln",,38.819134,-77.077332,,,,,,0
21947,4000167,"Duke St+S Walker St",,38.814377,-77.131950,,,,,,0
21949,4000765,"W Glebe Rd + Florence Dr",,38.841393,-77.071083,,,,,,0
21950,4000492,"Bradlee Shopping Center",,38.829718,-77.091383,,,,,,0
21951,4000598,"Braddock Rd Metro Station - Bay D",,38.813545,-77.053864,,,,,,0
21952,4000645,"King St+Melrose St",,38.815399,-77.072906,,,,,,0
21953,4000520,"Cameron Mills Rd+Allison St",,38.831848,-77.074936,,,,,,0
21954,4000875,"King St+S Fayette St",,38.805737,-77.052711,,,,,,0
21956,4000423,"Martha Custis Dr+Gunston Rd NB",,38.840607,-77.083221,,,,,,0
21957,4000507,"Bashford Ln + W Abingdon Dr",,38.818558,-77.044868,,,,,,0
21958,4000766,"N Fairfax St + Second St",,38.815151,-77.040359,,,,,,0
21959,4000803,"Eisenhower Ave+Clermont Ave",,38.803982,-77.114281,,,,,,0
21960,5002023,"N Beauregard St + Chambliss St",,38.820751,-77.142136,,,,,,0
21961,4000247,"3830 Seminary Rd/Beth-El Synagogue",,38.821110,-77.096024,,,,,,0
21962,4000046,"Edsall Rd + S Whiting St",,38.807487,-77.135071,,,,,,0
21963,4000763,"Eisenhower Ave+Cameron Parke Ct",,38.804050,-77.095345,,,,,,0
21964,4000254,"W Braddock Rd+Lloyd's Ln",,38.822033,-77.071358,,,,,,0
21965,4000806,"Eisenhower Ave+Clermont Ave",,38.804253,-77.113739,,,,,,0
21968,4000794,"W Glebe Rd+Old Dominion Blvd",,38.840617,-77.068016,,,,,,0
21969,4000685,"Rayburn Ave+Reading Ave",,38.831394,-77.128410,,,,,,0
21971,4000883,"King St + Scroggins Rd",,38.821762,-77.079872,,,,,,0
21972,4000474,"Potomac Yard Shopping Center - Staples/Petsmart",,38.835243,-77.050018,,,,,,0
21973,4000650,"Russell Rd+Monticello Blvd",,38.831768,-77.066978,,,,,,0
21974,4000637,"Slaters Ln+Portner Rd",,38.821335,-77.047562,,,,,,0
21976,4000745,"Daingerfield Rd+Prince St",,38.804928,-77.058472,,,,,,0
21977,4000684,"Rayburn Ave+Harding Ave",,38.832432,-77.127357,,,,,,0
21978,4000760,"N Columbus St + First St",,38.814968,-77.046082,,,,,,0
21979,4000149,"Duke St+N Ripley St",,38.813473,-77.126068,,,,,,0
21980,4000818,"5001 Eisenhower Ave",,38.802731,-77.121857,,,,,,0
21981,4000694,"N Royal St+Princess St",,38.808254,-77.042946,,,,,,0
21982,4000027,"N Washington St + King St",,38.805264,-77.047058,,,,,,0
21986,4000271,"Seminary Rd+Chapel Hill Dr",,38.823231,-77.101494,,,,,,0
21987,4000723,"4841 Eisenhower Ave",,38.803391,-77.119156,,,,,,0
21988,4000885,"Madison St+N Fairfax St",,38.812405,-77.040993,,,,,,0
21989,4000656,"Russell Rd+MacArthur Rd",,38.832357,-77.066994,,,,,,0
21990,4000748,"Eisenhower Ave + Cameron Parke Pl",,38.803505,-77.093361,,,,,,0
21991,4000620,"Duke St+S Washington St",,38.802818,-77.047997,,,,,,0
21992,4000392,"King St+Park Center Dr",,38.837227,-77.102974,,,,,,0
21993,4000579,"N Armistead St+Quantrell Ave",,38.820202,-77.133667,,,,,,0
21994,4000333,"Mt Vernon Ave + Hume Ave",,38.830570,-77.059380,,,,,,0
21995,4000768,"N Fairfax St + Montgomery St",,38.813854,-77.040627,,,,,,0
21996,4000511,"E Braddock Rd+Commonwealth Ave",,38.816280,-77.062355,,,,,,0
21997,4000128,"Stevenson Ave+S Van Dorn St",,38.812351,-77.133095,,,,,,0
21998,4000870,"Madison St+N Royal St",,38.812557,-77.042114,,,,,,0
22000,4000874,"King St+N Fayette St",,38.805828,-77.052322,,,,,,0
22001,4000132,"101 S Van Dorn St",,38.812359,-77.131416,,,,,,0
22002,4000050,"Duke St+Cambridge Rd",,38.807552,-77.081673,,,,,,0
22003,5002022,"N Beauregard St + Lincolnia Rd",,38.819889,-77.140022,,,,,,0
22004,4000178,"1210 Janneys Ln",,38.815735,-77.084991,,,,,,0
22005,4001026,"King St + N Hampton St",,38.839535,-77.105614,,,,,,0
22006,4000846,"N Menokin Dr + N Van Dorn St",,38.831684,-77.095581,,,,,,0
22007,4000039,"Duke St+W Taylor Run Pkwy",,38.806889,-77.076523,,,,,,0
22008,4000339,"4901 Seminary Rd",,38.831467,-77.113380,,,,,,0
22009,4000843,"Martha Custis Dr NB + Gunston Dr",,38.840012,-77.083534,,,,,,0
22010,4000331,"Mt Vernon Ave+Raymond Ave",,38.829945,-77.059402,,,,,,0
22011,4000043,"N Washington St + Queen St",,38.807152,-77.046410,,,,,,0
22012,4000554,"Jamieson Ave+Courthouse Sq",,38.803059,-77.066216,,,,,,0
22013,4000820,"N Fairfax St+King St",,38.804695,-77.042595,,,,,,0
22014,4000072,"Duke St+Carriage House Circle",,38.809372,-77.092796,,,,,,0
22015,4000148,"Duke St+N Ripley St",,38.813187,-77.126305,,,,,,0
22016,4000311,"Mt Vernon Ave+E Oxford Ave",,38.826996,-77.058891,,,,,,0
22019,4000532,"Metro Rd+Eisenhower Ave",,38.799519,-77.131065,,,,,,0
22021,4000772,"Franklin St+S Royal St",,38.797760,-77.045372,,,,,,0
22022,4000448,"Franklin St+S Patrick St",,38.798645,-77.052505,,,,,,0
22023,4000048,"N Washington St + Queen St",,38.807560,-77.046539,,,,,,0
22024,4000524,"Cameron Mills Rd+Virginia Ave",,38.827171,-77.073311,,,,,,0
22026,4000071,"Duke St+Normandy Hill Dr",,38.809139,-77.092461,,,,,,0
22029,4000980,"500 S Van Dorn St",,38.806934,-77.133232,,,,,,0
22030,4000804,"4701 Eisenhower Ave",,38.803860,-77.116081,,,,,,0
22031,4000478,"Braddock Rd Metro Station - Bay A",,38.814117,-77.053505,,,,,,0
22033,4000847,"N Menokin Dr+N Van Dorn St",,38.831596,-77.095490,,,,,,0
22034,4000976,"Quantrell Ave + N Armistead St",,38.819504,-77.136078,,,,,,0
22036,4000123,"Duke St+N Pickett St / Cameron St Blvd",,38.812252,-77.119415,,,,,,0
22037,4000019,"S Washington St + Prince St",,38.803570,-77.047432,,,,,,0
22040,4000382,"Valley Dr+Preston Rd",,38.836094,-77.079582,,,,,,0
22041,4000323,"Seminary Rd+Kenmore Ave",,38.828262,-77.110863,,,,,,0
22043,4000531,"S Whiting St+Lane Dr",,38.809731,-77.136002,,,,,,0
22044,4000778,"King St+S Royal St",,38.804619,-77.043777,,,,,,0
22045,4000538,"Commonwealth Ave+W Braddock Rd",,38.816002,-77.062592,,,,,,0
22046,4000158,"Janneys Ln+King St",,38.813843,-77.071739,,,,,,0
22047,4000395,"Fillmore Ave+N Beauregard St",,38.837463,-77.114639,,,,,,0
22048,4000566,"Mt Vernon Ave+W Glebe Rd",,38.835907,-77.060905,,,,,,0
22050,4000430,"Valley Dr+Tennessee Ave",,38.841767,-77.075394,,,,,,0
22052,4000320,"W Braddock Rd+Marlboro Dr",,38.827988,-77.098709,,,,,,0
22053,4000812,"N Fairfax St + Wythe St",,38.811108,-77.041008,,,,,,0
22054,4000025,"S Washington St + King St",,38.804680,-77.046913,,,,,,0
22056,4000352,"1698 N Beauregard St",,38.832851,-77.123260,,,,,,0
22058,4000363,"Valley Dr+Gunston Rd",,38.833839,-77.079552,,,,,,0
22063,4000283,"N Van Dorn St+Wycklow Ct",,38.824768,-77.121979,,,,,,0
22065,4000850,"Montgomery St + N Pitt St",,38.813919,-77.042603,,,,,,0
22066,4000990,"Mill Rd+Jamieson Ave",,38.802013,-77.067375,,,,,,0
22068,4000105,"Pendleton St+N Henry St",,38.811279,-77.050407,,,,,,0
22070,4000666,"S Van Dorn St+S Pickett St",,38.805180,-77.134056,,,,,,0
22071,4000523,"Cameron Mills Rd+Chalfonte Dr",,38.835899,-77.076416,,,,,,0
22074,4000082,"Pendleton St+N Royal St",,38.810280,-77.042557,,,,,,0
22075,4000354,"Mt Vernon Ave+Kennedy St",,38.833050,-77.059822,,,,,,0
22076,4000648,"Russell Rd+W Glebe Rd",,38.837606,-77.064842,,,,,,0
22077,4000559,"W Reed Ave+Edison St",,38.837238,-77.060806,,,,,,0
22079,4000591,"Braddock Rd Metro Station - Bay E",,38.813393,-77.053970,,,,,,0
22080,4000301,"N Beauregard St+Sanger Ave",,38.826241,-77.130280,,,,,,0
22081,4000581,"511 N Armistead St",,38.821693,-77.132256,,,,,,0
22082,4000617,"King St+Melrose St",,38.815636,-77.073441,,,,,,0
22083,4000349,"5001 Seminary Rd",,38.832680,-77.114525,,,,,,0
22084,4000379,"Martha Custis Dr+Preston Rd",,38.835800,-77.083801,,,,,,0
22085,4000974,"Mayflower Square",,38.820541,-77.136467,,,,,,0
22086,4000231,"Seminary Rd+Fort Williams Pkwy",,38.819679,-77.093536,,,,,,0
22087,4000796,"N Early St+W Braddock Rd",,38.828079,-77.096977,,,,,,0
22088,4000266,"Mt Vernon Ave+E Bellefonte Ave",,38.823112,-77.058006,,,,,,0
22089,4000854,"N Early St + W Braddock Rd",,38.827919,-77.097069,,,,,,0
22090,4000835,"Madison St+N West St",,38.813862,-77.052383,,,,,,0
22091,4000017,"Duke St+S Payne St",,38.803520,-77.054298,,,,,,0
22092,4000743,"N Fairfax St + King St N",,38.804739,-77.042419,,,,,,0
22095,4000321,"N Beauregard St+Roanoke Ave",,38.828056,-77.126305,,,,,,0
22096,4000539,"Commonwealth Ave+E Chapman St",,38.813549,-77.061958,,,,,,0
22097,4000683,"Rayburn Ave+Winston Ct",,38.832169,-77.125427,,,,,,0
22098,4000156,"Janneys Ln+Putnam Pl",,38.813889,-77.072792,,,,,,0
22099,4000380,"Martha Custis Dr+Preston Rd",,38.835899,-77.083633,,,,,,0
22101,4000568,"Russell Rd+Mount Pl",,38.835197,-77.067307,,,,,,0
22102,4000163,"Janneys Ln+E Taylor Run Pkwy",,38.814194,-77.076904,,,,,,0
22104,4000113,"4600 Duke St",,38.811699,-77.111839,,,,,,0
22105,4000381,"Valley Dr+Coryell Ln",,38.835831,-77.079796,,,,,,0
22106,4000111,"Stevenson Ave+S Van Dorn St",,38.811626,-77.132706,,,,,,0
22108,4000120,"Duke St+S Jordan St",,38.811958,-77.108971,,,,,,0
22109,4000104,"Pendleton St+N Henry St",,38.811340,-77.049942,,,,,,0
22110,4000774,"Franklin St+S Saint Asaph St",,38.798019,-77.047562,,,,,,0
22111,4000983,"Kenmore Ave+Seminary Rd",,38.827728,-77.111977,,,,,,0
22112,4000299,"N Beauregard St+Sanger Ave",,38.825970,-77.130058,,,,,,0
22113,4000777,"W Glebe Rd+Executive Ave",,38.839218,-77.065651,,,,,,0
22114,4000837,"Martha Custis Dr + Valley Dr",,38.842010,-77.078438,,,,,,0
22117,4000551,"Jefferson St+Fayette St - Lee Center",,38.797661,-77.054298,,,,,,0
22118,4000319,"Seminary Rd+Library Ln",,38.827755,-77.110756,,,,,,0
22119,4000450,"Powhatan St+Second St",,38.816910,-77.046425,,,,,,0
22120,4000138,"Duke St+N Paxton St",,38.812756,-77.123573,,,,,,0
22121,4000618,"Commonwealth Ave+Sunset Dr",,38.808586,-77.060478,,,,,,0
22122,4000035,"Duke St+Moncure Dr",,38.806606,-77.073952,,,,,,0
22123,4000673,"Russell Rd+Mount Pl",,38.834839,-77.067368,,,,,,0
22124,4000282,"N Beauregard St+Morgan St",,38.824692,-77.132477,,,,,,0
22125,4000658,"Russell Rd+Kentucky Ave",,38.836514,-77.066322,,,,,,0
22126,4000109,"Pendleton St+N Payne St",,38.811546,-77.052460,,,,,,0
22127,4000799,"Eisenhower Ave+Mill Rd",,38.802361,-77.080284,,,,,,0
22129,4000357,"Mt Vernon Ave+Kennedy St",,38.833363,-77.060097,,,,,,0
22130,4000582,"514 North Armistead St",,38.821602,-77.132401,,,,,,0
22131,4000518,"Cameron Mills Rd+Monticello Blvd",,38.829315,-77.074081,,,,,,0
22132,4000475,"Potomac Yard+Potomac Yard Shopping Center - Rack R",,38.837116,-77.049904,,,,,,0
22133,4000169,"Janneys Ln+Yale Dr",,38.814957,-77.083099,,,,,,0
22134,4000822,"Van Dorn St Metro Station - Bay C",,38.799740,-77.129059,,,,,,0
22135,4000808,"4700 Eisenhower Ave",,38.803680,-77.116089,,,,,,0
22136,4000981,"Seminary Plaza - Hotel",,38.829556,-77.110428,,,,,,0
22137,4000848,"Mill Rd+Eisenhower Ave",,38.801216,-77.067436,,,,,,0
22139,4000273,"N Van Dorn St+Sanger Ave",,38.823612,-77.124046,,,,,,0
22140,4000034,"Duke St+Moncure Dr",,38.806301,-77.073654,,,,,,0
22141,4000022,"Duke St + S Peyton St",,38.804073,-77.056900,,,,,,0
22143,4000062,"S Van Dorn St + Edsall Rd",,38.808315,-77.132736,,,,,,0
22146,4000196,"Janneys Ln+N Quaker Ln",,38.817429,-77.089249,,,,,,0
22147,4000703,"Rayburn Ave+Dunster Ct",,38.831394,-77.128815,,,,,,0
22148,4000513,"E Braddock Rd + Little St",,38.814693,-77.058762,,,,,,0
22149,4000234,"Seminary Rd+Fort Williams Pkwy",,38.819756,-77.093880,,,,,,0
22151,4000328,"W Braddock Rd+N Howard St",,38.828815,-77.102097,,,,,,0
22152,4000785,"N Howard St+Maple Tree Ct",,38.825130,-77.104065,,,,,,0
22154,4000165,"Janneys Ln+Cloverway Dr",,38.814259,-77.080109,,,,,,0
22155,4000188,"Janneys Ln+Kingston Ave",,38.816700,-77.087036,,,,,,0
22157,4000727,"Gunston Rd+Chalfonte Dr",,38.836315,-77.077591,,,,,,0
22158,4000361,"Valley Dr+Martha Custis Dr",,38.833591,-77.079643,,,,,,0
22159,4000979,"Lincolnia Rd + N Breckinridge Pl",,38.818336,-77.137985,,,,,,0
22160,4000137,"Yoakum Pkwy+Stevenson Ave",,38.812721,-77.139671,,,,,,0
22161,4000348,"Southern Towers - Sherwood Building",,38.832523,-77.114258,,,,,,0
22162,4000074,"N Washington St+Oronoco St",,38.809422,-77.045929,,,,,,0
22163,4000364,"N Beauregard St+Mark Center Dr",,38.833802,-77.120682,,,,,,0
22164,4000692,"N Royal St+Cameron St",,38.806053,-77.043419,,,,,,0
22165,4000529,"W Braddock Rd+W Alexandria Ave",,38.818024,-77.066605,,,,,,0
22167,4000855,"3444 Martha Custis Dr",,38.837299,-77.083557,,,,,,0
22168,4000084,"N Washington St+Pendleton St",,38.810585,-77.045677,,,,,,0
22169,4001040,"Kenwood Ave + Valley Dr",,38.831944,-77.080391,,,,,,0
22170,4000996,"230 S Van Dorn St",,38.810707,-77.131905,,,,,,0
22171,4000699,"W Braddock Rd+Russell Rd",,38.817835,-77.065933,,,,,,0
22172,4000404,"N Beauregard St+W Braddock Rd",,38.838600,-77.111409,,,,,,0
22173,4000761,"Bashford Ln + N Pitt St",,38.818344,-77.042488,,,,,,0
22174,4000744,"Martha Custis Dr+Valley Dr",,38.841987,-77.077660,,,,,,0
22175,4000767,"N Fairfax St + Madison St",,38.812336,-77.040779,,,,,,0
22176,4000726,"Gunston Rd+Chalfonte Dr",,38.836170,-77.077728,,,,,,0
22177,4000576,"Landmark Mall",,38.817223,-77.131126,,,,,,0
22178,4000973,"Russell Rd + W Alexandria Ave",,38.818329,-77.066231,,,,,,0
22179,4000429,"Valley Dr+Tennessee Ave",,38.841736,-77.075180,,,,,,0
22180,4000982,"Kenmore Ave + Seminary Rd",,38.828117,-77.111710,,,,,,0
22183,4000052,"Edsall Rd+S Whiting St",,38.807667,-77.134644,,,,,,0
22184,4000514,"E Braddock Rd+Ramsey St",,38.814213,-77.057297,,,,,,0
22185,4000422,"Martha Custis Dr+Gunston Rd",,38.840584,-77.083145,,,,,,0
22187,4000276,"N Van Dorn St + Richenbacher Ave",,38.824028,-77.123070,,,,,,0
22188,4000239,"Quantrell Ave+N Beauregard St",,38.820484,-77.136627,,,,,,0
22189,4000644,"Russell Rd+Kentucky Ave",,38.836471,-77.066193,,,,,,0
22190,4000399,"Fillmore Ave+Domain Pl",,38.838165,-77.115349,,,,,,0
22191,4000998,"Commonwealth Ave + Luray Ave",,38.817410,-77.062599,,,,,,0
