service_id,date,exception_type
155401_merged_1252197,20200415,1
155401_merged_1252197,20200429,1
155401_merged_1252197,20200624,1
3103_merged_1252170,20200308,1
22401_merged_1252198,20200611,1
22401_merged_1252198,20200618,1
22401_merged_1252198,20200604,1
22401_merged_1252198,20200625,1
22401_merged_1252198,20200423,1
22401_merged_1252198,20200507,1
22401_merged_1252198,20200430,1
22401_merged_1252198,20200514,1
22401_merged_1252198,20200528,1
22401_merged_1252198,20200416,1
22401_merged_1252198,20200521,1
27301,20200303,1
27301,20200302,1
27301,20200312,1
27301,20200313,1
27301,20200306,1
27301,20200305,1
27301,20200304,1
27301,20200318,1
27301,20200319,1
27301,20200309,1
27301,20200317,1
27301,20200311,1
27301,20200310,1
27301,20200316,1
27301,20200320,1
53201,20200303,1
53201,20200302,1
53201,20200312,1
53201,20200313,1
53201,20200306,1
53201,20200305,1
53201,20200304,1
53201,20200318,1
53201,20200319,1
53201,20200309,1
53201,20200317,1
53201,20200316,1
53201,20200310,1
53201,20200320,1
157603_merged_1252227,20200628,1
157603_merged_1252227,20200614,1
157603_merged_1252227,20200621,1
157603_merged_1252227,20200607,1
157603_merged_1252227,20200524,1
157603_merged_1252227,20200531,1
157605_merged_1252226,20200525,1
155401_merged_1252124,20200318,1
155401_merged_1252124,20200401,1
155401_merged_1252124,20200304,1
125101,20200303,1
125101,20200302,1
125101,20200312,1
125101,20200313,1
125101,20200306,1
125101,20200305,1
125101,20200304,1
125101,20200318,1
125101,20200319,1
125101,20200309,1
125101,20200317,1
125101,20200316,1
125101,20200310,1
125101,20200320,1
201_merged_1252173,20200330,1
201_merged_1252173,20200331,1
201_merged_1252173,20200403,1
201_merged_1252173,20200408,1
201_merged_1252173,20200409,1
201_merged_1252173,20200406,1
201_merged_1252173,20200407,1
201_merged_1252173,20200401,1
201_merged_1252173,20200402,1
201_merged_1252173,20200410,1
22201_merged_1252233,20200610,1
22201_merged_1252233,20200617,1
22201_merged_1252233,20200624,1
22201_merged_1252233,20200603,1
22201_merged_1252233,20200422,1
22201_merged_1252233,20200513,1
22201_merged_1252233,20200506,1
22201_merged_1252233,20200527,1
22201_merged_1252233,20200415,1
22201_merged_1252233,20200429,1
22201_merged_1252233,20200520,1
50201_merged_1252149,20200303,1
50201_merged_1252149,20200310,1
